username,rating,comment
u3w1thwiz0,4,"Mùi hương:thơm nhẹ
Công dụng:sữa rửa mặt
Dành cho da:da dầu mụn

Đóng gói cẩn cẩn thận chắc chắn, hộp nhỏ xinh xinh. Giao hàng nhanh còn chất lượng thì chờ sài mới biết ạ"
t*****9,5,"Dành cho da:da dầu mụn
Công dụng:chống nắng

Giao hàng nhanh, đóng gói cẩn thận, quà tặng kèm đầy đủ, sẽ sử dụng và đánh giá sau, khá nhỏ so với tưởng tượng và tuýp kem chống nắng nhà laroche cùng dung tích"
dainganngocnghi,5,"Công dụng:chống nắng
Mùi hương:thơm nhẹ, dễ chịu
Dành cho da:mọi loại da

Sản phẩm tuyệt vời, đóng gói và quà tặng đầy đủ, dạng sữa dễ tán đều, nói chung rất ưng nhe mn"
nhaphuong96679869,5,"Làm đẹp:dep
Lợi ích:ok
Mẹo:da

Nhận hàng ok, hàng chính hãng đẹp , yên tâm. Sẽ mua ủng hộ lần sau nha. Mùi dễ chịu"
truchph,5,"Mùi hương:thơm
Dành cho da:nhạy cảm
Công dụng:chống nắng

Đúng ý t luôn kiểu dạng sữa nên thấm nhanh, bôi cũng lẹ nữa. Kiểu tiền nào của đó vậy á. Sài oke nha"
h*****2,4,"Kem chống nắng có mùi hoa nhài và giữ mùi khá lâu. Mình đang dùng vào mùa lạnh nên không chắc mùa hè sẽ thế nào. Hiện tại thì so với loại invisible fluid thì đỡ bóng hơn, khó tán hơn, khô rất nhanh trên da, đỡ vàng da hơn nhưng vẫn hơi vàng"
nppnguyenkhoa,5,"Dành cho da:mun dau

Giao đúng hàng, đóng gói kỹ, tặng thêm 3 món quà. Sửa rửa mặt, tẩy trang và duo+ . Rất hài lòng, sẽ tiếp tục ủng hộ"
tranhuong180190,5,Mình mua dùng thử thấy chất kem lỏng dễ tán. K nâng tone . Hàng nhận về thấy có cả tem phụ bằng tiếng việt. Hi vọng nó chống nắng tốt như lời đồn
anne_tran,5,"Đã từng dùng chống nắng cùng dòng của laroch nên rất tin tưởng, lần trc mình dùng kem thấy rất hài lòng, tuy nhiên dạo này nắng nóng với dễ mụn với muốn thử nên đổi xem mình hợp nào hơn. Cả 2 kiềm dâu tốt lắm."
byul210793,5,"Hương thơm:không mùi
Lợi ích:lâu trôi,bền màu

Hàng của la Roche mall thì đảm bảo chất lượng rồi .chất kem dạng lỏng dễ tán ko bết dính kiềm dầu tốt"
binhchibao,5,"Công dụng:tri mun
Dành cho da:dau
Mùi hương:thom

Trai nhà mình đang tuổi dậy thì nên xài dòng này trộm vía là ổn. Mình cũng xài kem chống nắng loại này và rất ok"
ptdung.97,5,"Hương thơm:chưa dùng
Lợi ích:chống nắng
Mẹo:chưa có mẹo gì

Bí tý xíu ko à. Ko biết hiệu quả che chắn thế nào. Săn sale 375k. Đựoc tặng 1 tuýt srm 50ml và 1 trị mụn 3ml"
n*****h,5,"Công dụng:chong nang
Mùi hương:thơm nhẹ
Dành cho da:mọi loại da

Lên da chút ẩm ẩm không quá khô căng, không vệt trắng trên da, nên không lì và lên tone nha."
p*****1,5,"Công dụng:chống nắng

Chống nắng tốt giữ được khá lâu khi đi ngoài trời nắng đổ mồ hôi nhiều vì khá bám dính hơn những loại khác"
tatu1250,5,"Công dụng:chống nắng
Mùi hương:nhẹ
Dành cho da:tổng hợp

Đóng gói Ok mỉnh sử dụng qua của người thân mua về rất tốt nếu là chính hãng nhé"
susukimthoa,5,"Công dụng:chống nắng
Dành cho da:da dầu
Mùi hương:thơm dịu nhẹ

Dùng chống nắng của shop từ lâu rồi từ mẫu cũ này chuyển sang dạng sữa mọi người khen chống nắng tốt nên mua dùng thử dễ thoa"
f*****e,5,"Mùi hương:không mùi
Dành cho da:mọi loại da
Công dụng:chống nắng

Độ chống nắng của e này thì đỉnh khỏi bàn, chưa dùng dạng nước nên chưa biết như nào"
maianhbingo,5,"Công dụng:chống nắng
Dành cho da:dầu
Mùi hương:có hương liệu

Thấy kiềm dầu ổn. Da mh bôi mùa đông nên thấy vậy. Còn tex của n có bột bột. K biết mn bị vậy k"
kimnhung930801,5,"Sản phẩm rất tốt, kem sữa nên thoa lên da thấm nhanh, mỏng, mịn ko nâng tone nhiều, không gây rít da. Sẽ tiếp tục dùng"
p*****n,5,"Dành cho da:dầu mụn
Công dụng:chống nắng
Mùi hương:không biết

Mùa tặng nên chưa biết hiệu quả như thế nào nhưng thấy đánh giá ổn"
phientran445,4,"Mùi hương:binh thuong
Dành cho da:dau mun
Công dụng:chong nang

Sua rua mat sai rui ok , dua chong nang chua sai nen chua the noi gi them, nhung dc qua tang la rat thich ok"
drsonan,5,"Mình da hỗn hợp thiên dầu, bôi thấy dễ thấm, không vón cục, cảm giác không bị bức bí sau bôi. Mua 9/9 được tặng rất nhiều đồ. Cảm ơn shop nhiều nhé!"
miichan95,5,"Mùi hương:ko
Dành cho da:da nhạy cảm
Công dụng:chống nắng

Sản phẩm của La roche posay thì khỏi bàn cãi, rất hợp cho da nhạy cảm có mụn, đặc biệt có sp dành cho da dầu nhạy cảm, đc tặng srm xài khá hợp da mình"
n*****5,5,"Công dụng:chống nắng
Dành cho da:dầu
Mùi hương:mùi nhẹ

Dạng sửa lỏng, dễ tán, finish hơi bóng một xíu nhưng không nặng mặt, cũng không bị vàng mặt."
t*****y,5,"Công dụng:chống nắng
Dành cho da:dầu mụn

Chất lượng tốt 
Đóng gói hàng cẩn thận và chắc chắn 📦 
Thời gian giao hàng rất nhanh 🚚 
Rất đáng tiền 💯"
d*****5,5,"Lợi ích:chống nắng
Hương thơm:Thơm
Mẹo:chống nắng da mặt

Sản phẩm chất lượng, shop đóng gói đơn hàng chắc chắn, giao hàng nhanh, nên mua"
ahjhjj2k2,5,"Dành cho da:daauf
Công dụng:chống nắng
Mùi hương:thơm

Hàng giao nhanh lắm săn đúng vào hôm 11-11 có nhiều ưu đãi với mã giảm giá 
Hàng chất lượng chính hãng lần thứ hai đặt ở đây rồi in"
1k88l99h8o,5,"Dành cho da:dầu
Mùi hương:thơm
Công dụng:trị mụn

Giao hàng nhanh quá shop, mua được giá rẻ lại còn được tặng thêm nhiều quà. Cảm ơn shop"
hanhmy106,5,"Công dụng:rất tốt và dễ sử dụng
Mùi hương:không mùi dung chống nắng cho da
Dành cho da:khi đi nắng

Tặng cho shop 5sao và sẽ mua ủng hộ thêm nhiều lần sau nữa nhé 
Cám ơn shop"
e*****9,5,"Lợi ích:chưa sử dụng
Bao bì:đẹp
Kinh nghiệm sử dụng:chưa sử dụng

U là trời 
Hàng đẹp giá rẻ 
Chất lượng tốt
Mọi người nên mua nhé 
Xịn quãi luôn 🥰🥰🥰🥰
Chúc shop buôn may bán đắt"
n*****m,5,"Công dụng:chống nắng
Dành cho da:da thiên dầu
Mùi hương:ko cóa

Mẫu cũ dùng ok nên mua thử mẫu mới
Giao hàng nhanh, đóng gói chắc chắn"
thi169,5,"Dành cho da:da dầu và da mụn
Mùi hương:nhẹ dịu
Công dụng:giúp chống nắng giảm bóng nhờn

Giao hàng nhanh và được tặng nhiều quà"
taman_0622,5,"Công dụng:chong nang
Dành cho da:mun va dau
Mùi hương:de chiu

Mua hanh duoc kem qua tang shop giao nhanh lam sang nay da dung thu rat tot san pham tot kem chong nang dung rat tot toi rat thich"
