product,username,rating,comment
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",a*****n,5,"Công dụng:Vệ sinh lens
Mùi hương:ko

Shop giao siêu nhanh, mới đặt hôm trc trong Tết mà giờ nhận đc hàng rìu, shipper thân thiện 10₫"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",t*****a,5,"Công dụng:ngâm lens , nhỏ mắt , đựng lens
Mùi hương:chưa mở chưa biết

:)) giao nhanh nha khoảng 2 ngày thôi , đóng gói gọn gàng khá là ổn :"")) nch là ukiiiii"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",moe_2006,5,"chai to, giao nhanh, chắc chính hãng đó, ngâm 2 tuần r ch hỏng lens, đc tặng thêm hộp đựng lens và dụng cụ, nên mua"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",iqh7t_m6g8,5,"Công dụng:cấp ẩm cho lens
Mùi hương:không có

Sp tốt, đã mua rất nhiều lần bên shop mà vẫn thấy ưng, giá cả thì rẻ, giao hàng siêu nhanh, nói chung là rất tốt và hợp túi tiền"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",thuu_hienn2704,5,"Mùi hương:Ok

Rẻ hộp đựng lens dthun k nghĩ dc tặng luôn ý iu ạ
Không ngờ lại gặp phải thằng liều , nhảy mã b5 rình rập, đen cảnh giác nhảy mã a6 phòng thủ, trắng ăn hậu vào b7 tấn công xe. Đen đưa xe qua b8 phản công lại, trắng bất ngờ phế hậu vào xe b8 tung đòn đánh lạc hướng quân mã, cực chẳng đã, đen phải ăn mã về b8. Chỉ chờ có thế, trắng ăn mã vào c7, chiếu hết trong sự ngỡ ngàng của đen"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",c*****n,5,"Mùi hương:không mùi
Công dụng:rửa lens, ngâm lens, nhỏ mắt cấp ẩm

Hàng đầy đủ, tặng kèm cái khay đáng yêu voãi oàaaa luôn:))) dòm cưng xỉu á"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",n*****2,4,"Công dụng:để rửa len
Mùi hương:ko ngửi thấy mùi gì

Đóng gói cẩn thận chắc chắn chx sử dụng nên chx đánh giá đc nên mua thử về dùng nhé (được tặng kèm hộp đựng len)"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",n*****0,5,"Công dụng:ngâm len
Mùi hương:khum biết

Ship siêu nhanh nhé hôm trước đặt hôm sau có luôn mà tăngh cả hộp đựng len chu choe"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",tram_2206.,5,"M cũng hay xài lens nhưng chưa bh mua trên shopee vì sợ lỗi, nhưng hnay liều mua thử nhưng kết quả vượt ngoài mong đợi, trước khi gửi hàng shop còn cho mình xem trước mẫu lens rất ưng nha. Lần sau sẽ mua tiếp"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",b*****n,5,"Công dụng:cấp ẩm cho mắc và, ngâm lens
Mùi hương:không biết

hàng đòng gói ổn, mới đặt hôm qua mà nay đã tới nhà rùi, được tặng cả khay dụng cụ, sẽ ủng hộ shop dài ạ"
"Bộ đôi cấp ẩm cho lens: Nước ngâm(150 ml), Nhỏ mắt (15ml)  Sky Contact Lens vệ sinh bảo quản lens (Tặng khay và dụng cụ)",buingocnganphuong,5,"Công dụng:bảo quản lens
Mùi hương:hong mùi

Trừi ưi hơn cả tui mong đợi luon ý mn giá cx oke la lắm mn nên mua nhe giao nhanh cực luôn shipper cx thân thiện qtr luônnnn nchung là mn nên mua nhe hàng tốt cực luonnn có gì sẽ ủng hộ shop thimmm:33"
