product,username,rating,comment
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",duyanhqbh,5,Tuy hàng Tray nhưng được shop bảo hành 36t thì quá ngon rồi ủng hộ shop 5sao( chip này gắn RTX 3070 cũng ko bị nghẽn đâu nhé cân tốt luôn)
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",phnglinhtrn946,5,"Đã nhận được hàng. 
Đã mua sản phẩm ở đây nhiều lần. Shop tư vấn nhiệt tình, sản phẩm tốt. Bảo hành nhanh.
Sẽ tiếp tục ủng hộ shop"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",trumpod.vn,5,"Sản phẩm chuẩn nha ae, nhưng có mỗi con chip bọc trong giấy bóng. Shop làm thêm cái hộp hoặc khay nhựa nhỏ nữa thì sẽ ok hơn"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",th.duii1120,4,"Mình mua bản CPU only, hộp đóng gói nhìn hơi ọp ẹp, còn không có cả cái khay nhựa. Nhưng hàng mới 100%, tư vấn viên khá ổn. Giá rẻ, chưa có mainboard để test, chấm trước 4 sao."
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",quynhan0303,5,Đặt hàng 9.9 mà 19.9 mới giao. Bên giao hàng nhanh làm ăn như cái quần què. Shop nhiệt tình. Sẽ ủng hộ thêm . Chúc mọi người Trung thu 2021 vui vẻ bên gia đình
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",n*****h,5,"Chuẩn hàng mới bh 36 tháng, đóng gói chắc chắn, chất lượng thì chưa biết do chưa test nhưng chắc sẽ rất ok thôi."
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",dangquangblr,5,"Anh chủ shop nhiệt tình, hàng rất okela, đặt hai hôm đã có, vote 5 sao mn nên mua shop này nhé"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",giangmeo.14,5,Nguyên đai nguyên kiện. Chính hãng Việt nam luôn. Giao hàng nhanh.
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",duongphuc.99,5,"Hàng chất lượng, săn đc sale giá cực rẻ. Mỗi tội ông shopee ghẻ lở nhất quyết không cho mua thêm. Sợ mình người fake. Chục lợi mã gg,"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",duongphuc.99,5,"Hàng chất lượng, săn đc sale giá cực rẻ. Mỗi tội ông shopee ghẻ lở nhất quyết không cho mua thêm. Sợ mình người fake. Chục lợi mã gg,"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",vunhuan2018,5,"Tính năng nổi bật:Tot
Chất lượng sản phẩm:ngon, mượt

Giao hàng nhanh. Đóng gói hàng cẩn thận. Đủ số lượng"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",vunhuan2018,5,"Tính năng nổi bật:ngon
Chất lượng sản phẩm:tốt

Giao hàng nhanh. Đóng gói hàng cẩn thận. Đủ số lượng đặt"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",vunhuan2018,5,"Chất lượng sản phẩm:ngon
Tính năng nổi bật:tốt

Giao hàng nhanh. Đóng gói hàng cẩn thận. Đủ số lượng đặt"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",trantuanphong95,4,Hàng nhìn mới. Vì hàng tray nên bảo hành tại shop chứ k bh hãng.
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",longtien2907,5,"Sản phẩm chính hãng , shop đóng gói cẩn thận !!!!!!!!!!!!!!!!!!!!!!!"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",huynhnhacmcm,5,"Hàng full box. Shop uy tín tư vấn nhiệt tình,sẽ còn ủng hộ shop nửa  tặng shop 5 sao"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",hoangdanh1118,5,Hình ảnh chỉ mang tính chất nhận xu giao hàng nhanh shop uy tin se ung ho tiếp
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",anhdung401,5,"Chủ shop nhiệt tình.
Giao hàng nhanh.
Hàng nguyên hộp."
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",huy91138,5,"Chất lượng sản phẩm:chất lượng siêu tốt

Shop uy tín giao đúng hàng. Có tem bh đầy đủ"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",duongphuc.99,5,"Hàng chất lượng, săn đc sale giá cực rẻ. Mỗi tội ông shopee ghẻ lở nhất quyết không cho mua thêm. Sợ mình người fake. Chục lợi mã gg,"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",j*****9,5,"Chất lượng tốt
Đóng gói cẩn thận 
Hàng ổn 
Đã lắp lên và dùng ổn định"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",inkheart2808,5,Chip mới. Dùng tốt. Không có điều gì để chê. Giao hàng siêu nhanh
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",h*****2,5,"Chất lượng sản phẩm tốt, mới tinh, shop giao hàng nhanh 10đ nha"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",xiaomibanmak,5,"Nguyên seal và team từ nhà phân phối lẫn nhà bán hàng
Sẽ ủng hộ tiếp"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",cordisdie,5,Hàng ngon giá sale tốt. Tuy nhiên shopee express nên đóng của đi. Ko giao nổi hàng đâu
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",giangtl1997,2,sản phẩm ok shop nhiệt tình. spx của shopee đúng chán  đặt 5 đơn mà ngay đơn thanh toán rồi và mắc nhất giao chậm gần tháng báo trả hàng thì cố tình kéo dài xử lý đến 1 tuần cho shiper giao hàng
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",dinhphuong3412,5,"Chất lượng sản phẩm:tốt

Chuẩn bị hàng nhanh, đóng gói cẩn thận, có điều cpu mới mà ko cho cái hộp nhựa đựng cpu."
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",minkquyt,5,"Chất lượng sản phẩm tuyệt vời, giá rẻ hơn so với nhiều shop khác"
"Bộ vi xử lý CPU Intel Core i3 - 10105F 4C/8T ( 3.7GHz up to 4.4GHz, 6MB ) Tray - Bảo hành 36 tháng",h*****c,5,"Giao hàng nhanh, sản phẩm đúng hình ảnh, phục vụ chuyên nghiệp, shop uy tín, tiếp tục ủng hộ.."
