username,rating,comment
y*****3,5,"Chất liệu:cotton

Đẹp nha mn  ơi, ship hoả tốc trong hn 1t là có hàng mặc òi á. Cho shop 10 điểm. M6 mặc sz M fit với ng lun á"
d*****5,5,Chất đẹppppp 👍 khá ưng săn sale giá quá rẻ mà khs đặt 2 áo cùng lúc mà cái ship trước cái ship sau 😅
min_nhii,4,"Chất liệu:vai
Đúng với mô tả:đúng
Màu sắc:đen

Áo dày dặn, vải quá là tuyệt vời mang lên người ôm eo rất xinh ạ ❤️"
tnhi5420,5,"Đúng với mô tả:đẹp
Chất liệu:thun co giãn
Màu sắc:trang den

Áo đẹp lắm nha, mang vào ai cũng bảo ốm nè, thích hợp để mang đi làm, nhìn lịch sự"
nhimmap03082017,5,"Tầm 5-6 ngày có hàng, vải caki dù. Lên dáng ok. Mình m6 54kg. Lấy sz XL cho rộng và dài, mà mặc lên cũng ok lắm. Ko rộng quá ko chật quá."
aprilmaomao,5,"Màu sắc:trắng đen
Chất liệu:hỗn hợp
Đúng với mô tả:đúng

Áo dễ thương, hợp với đi làm, form áo dài qua rốn hem phải croptop nhen. Form ôm rất xinh nè, chất liệu cũng ổn áp"
45c9ggc1kq,5,"Màu sắc:đen trắng
Đúng với mô tả:đúng
Chất liệu:thun

áo rất xinh nha , giống ảnh , mặc lên ôm dáng đẹp lứm , nên mua ạ , giao hàng nhanh nữa , iu iu"
meongeongeo,5,"Chất liệu:ok
Màu sắc:đen
Đúng với mô tả:dung

Sản phẩm rất đẹp mặc rất thích ok nói chung là phù hợp với giá tiền mặt rất là công sở"
toilathutho,5,"Đúng với mô tả:dung
Chất liệu:vai
Màu sắc:den trắng

Áo giống hình vải mặc cũng được mình 1m54 42kg mặc vừa in 10/10 dễ phối đồ"
e*****_,5,"sản phẩm xinh iu phối j cũng cưngg 😚 rất là sweet chilling và y2k cho các bé ạ, btw mình pass áo sz M vì hông hợp màu đen thui ạ huhu, 89 cá dr ig : khokinthaclub ạ"
t*****5,5,"Phù hợp mặc vào mùa thu đông, chất liệu co dãn thoải mái, mình nghĩ áo phù hợp với những bạn người nhỏ, giao hàng khá nhanh, giá cũng ổn…"
t*****i,5,Tại chất lượng cam tui xấu thôi chứ áo đẹp lắm á vải thun gân co dãn tốt dày dặn thích lắm cg dễ phối đồ á. Ship nhanh.
x*****4,5,"Chất liệu:cotton
Đúng với mô tả:đúng
Màu sắc:trắng đen

Săn sale áo có 94k mà đẹp đin bây ơi, gấc zâm. Vải co dãn tốt, bận k bị nóng. 10000/10"
