product,comment,aspect_tag,sentiment_tag
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['shop', 'chuẩn', 'bị', 'hàng', 'và', 'giao', 'hàng', 'nhanh', 'lắm', 'shop', 'giao', 'đủ', 'hàng', 'và', 'số', 'lượng', 'ốp', 'chất', 'lượng', 'nên', 'mua', 'còn', 'được', 'tặng', 'dây', 'quấn', 'tai', 'nghe', 'nữa']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['sản', 'phẩm', 'rất', 'xinh', 'đẹp', 'tuyệt', 'vời', 'hàng', 'đóng', 'gói', 'rất', 'đẹp', 'hộp', 'không', 'có', 'dấu', 'hiệu', 'bị', 'móp', 'thời', 'gian', 'vận', 'chuyển', 'hợp', 'lý']","[1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['1', '1', -1, -1, -1, -1, -1, -1, '1', '1', -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['thời', 'gian', 'giao', 'hàng', 'nhanh', 'shop', 'đóng', 'gói', 'cẩn', 'thận', 'chắc', 'chắn', 'màu', 'xanh', 'này', 'ngoài', 'hơi', 'trầm', 'giống', 'kiểu', 'xanh', 'bơ', 'mình', 'muốn', 'nó', 'tươi', 'hơn', 'một', 'chút', 'cơ', 'nhưng', 'bù', 'lại', 'ốp', 'rất', 'dày', 'dặn', 'chống', 'bẩn', 'khá', 'oke', 'nên', 'mua']","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['đúng', 'với', 'mô', 'tả', 'dung', 'chất', 'lượng', 'sản', 'phẩm', 'tot', 'dùng', 'qua', 'bao', 'nhiêu', 'ốp', 'thì', 'chân', 'ái', 'vẫn', 'là', 'em', 'ốp', 'này', 'ai', 'muốn', 'ốp', 'màu', 'trắng', 'mà', 'không', 'bẩn', 'thì', 'chỉ', 'có', 'em', 'nó', 'thôi', 'săn', 'giảm', 'giá', 'rẻ', 'quá', 'trời', 'luôn', 'đó']","[0, 0, 1, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, '1', '1', -1, '1', '1', '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'tốt', 'đúng', 'với', 'mô', 'tả', 'dung', 'bên', 'trong', 'có', 'lót', 'nhìn', 'rất', 'uy', 'tín', 'shop', 'giao', 'và', 'gửi', 'hàng', 'cũng', 'raats', 'nhanh', 'nói', 'chung', 'là', 'ok', 'màu', 'xinh', 'quãi', 'đoạn']","[1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['1', '1', -1, -1, -1, -1, -1, '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['đúng', 'với', 'mô', 'tả', 'đẹp', 'chất', 'lượng', 'sản', 'phẩm', 'đúng', 'ốp', 'đẹp', 'mượt', 'êm', 'chưa', 'dùng', 'thử', 'nên', 'khách', 'hàng', 'biết', 'có', 'chống', 'bẩn', 'khách', 'hàng', 'nhưng', 'so', 'với', 'giá', 'mà', 'được', 'ốp', 'vậy', 'là', 'quá', 'tuyệt', 'rồi', 'nên', 'mua', 'nhá']","[0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, '1', '1', -1, '1', '1', -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['đúng', 'với', 'mô', 'tả', 'ok', 'chất', 'lượng', 'sản', 'phẩm', 'ok', 'ốp', 'dày', 'dặn', 'màu', 'ngoài', 'đẹp', 'hơn', 'hình', 'da', 'mướt', 'cầm', 'êm', 'tay', 'lắm', 'luôn', 'nên', 'mua', 'nhe', 'mn']","[0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, '1', '1', -1, '1', '1', -1, -1, -1, '1', -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'tốt', 'đúng', 'với', 'mô', 'tả', 'có', 'lần', 'đầu', 'mua', 'hàng', 'của', 'shop', 'giao', 'siêu', 'nhanh', 'ạđặt', 'tối', 'hôm', 'trc', 'chiều', 'hôm', 'sau', 'có', 'luôn']","[1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['1', '1', -1, -1, -1, -1, -1, '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'ok', 'đúng', 'với', 'mô', 'tả', 'đúng', 'ốp', 'trong', 'này', 'rẻ', 'cũng', 'như', 'mẫu', 'săn', 'giảm', 'giá', 'nên', 'giá', 'ok', 'lắm', 'nên', 'mua', 'nhaaaa']","[1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['1', '1', -1, -1, -1, -1, -1, '1', '1', -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1]"
ốp chống bẩn full viền đáy lót nhung màu hàn quốc dành cho plus plus xsmax pro max promax promax,"['chất', 'lượng', 'sản', 'phẩm', 'ok', 'đúng', 'với', 'mô', 'tả', 'ok', 'coi', 'live', 'không', 'mấy', 'là', 'quá', 'tẹt', 'vời', 'cho', 'ốp', 'chống', 'bẩn', 'mình', 'mua', 'màu', 'rồi', 'sẽ', 'mua', 'thêm', 'full', 'màu', 'luôn']","[1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['1', '1', -1, -1, -1, -1, -1, '1', '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
